CMDLINE /home/shiftpub/miniconda3/envs/amm-env/bin/python3.9 inf_step_exp/dp_approach/full_vec_grid.py
MEM 8736.253906 1750256320.0638
MEM 9404.253906 1750256320.1641
MEM 10072.253906 1750256320.2645
MEM 10744.253906 1750256320.3648
MEM 11414.253906 1750256320.4651
MEM 12084.253906 1750256320.5655
MEM 12754.253906 1750256320.6659
MEM 13418.253906 1750256320.7661
MEM 14086.253906 1750256320.8665
MEM 14818.082031 1750256320.9669
MEM 15598.082031 1750256321.0672
MEM 16378.082031 1750256321.1676
MEM 17160.082031 1750256321.2680
MEM 17940.082031 1750256321.3683
MEM 18718.082031 1750256321.4687
MEM 19496.082031 1750256321.5691
MEM 20276.082031 1750256321.6694
MEM 21050.082031 1750256321.7696
MEM 21810.082031 1750256321.8700
MEM 22590.082031 1750256321.9704
MEM 23370.082031 1750256322.0707
MEM 24148.082031 1750256322.1711
MEM 24930.082031 1750256322.2715
MEM 25710.082031 1750256322.3718
MEM 26492.082031 1750256322.4722
MEM 27274.082031 1750256322.5725
MEM 28052.082031 1750256322.6729
MEM 14368.476562 1750256322.7732
MEM 14374.476562 1750256322.8735
MEM 14382.476562 1750256322.9737
MEM 14390.699219 1750256323.0740
MEM 14396.699219 1750256323.1743
MEM 14404.699219 1750256323.2745
MEM 667.562500 1750256323.3749
MEM 663.562500 1750256323.4751
MEM 643.562500 1750256323.5753
MEM 674.062500 1750256323.6756
MEM 643.562500 1750256323.7760
MEM 657.562500 1750256323.8763
MEM 645.562500 1750256323.9766
MEM 659.562500 1750256324.0770
MEM 673.562500 1750256324.1773
MEM 674.062500 1750256324.2775
MEM 674.062500 1750256324.3778
MEM 628.453125 1750256324.4780
MEM 629.203125 1750256324.5782
MEM 628.453125 1750256324.6784
MEM 674.062500 1750256324.7786
MEM 628.453125 1750256324.8789
MEM 672.835938 1750256324.9793
MEM 958.476562 1750256325.0796
MEM 1624.476562 1750256325.1800
MEM 2294.476562 1750256325.2803
MEM 2964.476562 1750256325.3807
MEM 3634.476562 1750256325.4810
MEM 4306.476562 1750256325.5814
MEM 4976.476562 1750256325.6817
MEM 5646.476562 1750256325.7821
MEM 6314.476562 1750256325.8824
MEM 6976.476562 1750256325.9827
MEM 7646.476562 1750256326.0831
MEM 8314.476562 1750256326.1834
MEM 8982.476562 1750256326.2837
MEM 9652.476562 1750256326.3841
MEM 10320.476562 1750256326.4844
MEM 10990.476562 1750256326.5847
MEM 11660.476562 1750256326.6851
MEM 12330.476562 1750256326.7854
MEM 13000.476562 1750256326.8857
MEM 13648.476562 1750256326.9860
MEM 14314.476562 1750256327.0864
MEM 15082.304688 1750256327.1867
MEM 15860.304688 1750256327.2870
MEM 16640.304688 1750256327.3874
MEM 17418.304688 1750256327.4877
MEM 18200.304688 1750256327.5881
MEM 18982.304688 1750256327.6884
MEM 19748.304688 1750256327.7887
MEM 20520.304688 1750256327.8890
MEM 21298.304688 1750256327.9894
MEM 22078.304688 1750256328.0897
MEM 22854.304688 1750256328.1901
MEM 23626.304688 1750256328.2904
MEM 24406.304688 1750256328.3907
MEM 25184.304688 1750256328.4911
MEM 25928.304688 1750256328.5915
MEM 26664.304688 1750256328.6945
MEM 27298.304688 1750256328.7947
MEM 28002.304688 1750256328.8951
MEM 14366.921875 1750256328.9953
MEM 14374.921875 1750256329.0954
MEM 14380.921875 1750256329.1957
MEM 14388.921875 1750256329.2960
MEM 14396.921875 1750256329.3963
MEM 14402.921875 1750256329.4965
MEM 637.785156 1750256329.5969
MEM 629.703125 1750256329.6972
MEM 674.035156 1750256329.7975
MEM 667.785156 1750256329.8979
MEM 674.035156 1750256329.9982
MEM 631.785156 1750256330.0984
MEM 674.035156 1750256330.1986
MEM 674.035156 1750256330.2990
MEM 674.035156 1750256330.3993
MEM 631.785156 1750256330.4996
MEM 674.035156 1750256330.5999
MEM 674.035156 1750256330.7003
MEM 674.035156 1750256330.8006
MEM 674.035156 1750256330.9010
MEM 674.035156 1750256331.0013
MEM 647.785156 1750256331.1016
MEM 689.335938 1750256331.2019
MEM 720.753906 1750256331.3023
MEM 1388.753906 1750256331.4026
MEM 2056.753906 1750256331.5030
MEM 2728.753906 1750256331.6033
MEM 3398.753906 1750256331.7037
MEM 4068.753906 1750256331.8040
MEM 4738.753906 1750256331.9044
MEM 5406.753906 1750256332.0048
MEM 6058.753906 1750256332.1051
MEM 6714.753906 1750256332.2054
MEM 7382.753906 1750256332.3057
MEM 8052.753906 1750256332.4061
MEM 8722.753906 1750256332.5066
MEM 9390.753906 1750256332.6068
MEM 10060.753906 1750256332.7072
MEM 10730.753906 1750256332.8075
MEM 11400.753906 1750256332.9079
MEM 12070.753906 1750256333.0083
MEM 12738.753906 1750256333.1086
MEM 13400.753906 1750256333.2089
MEM 14068.753906 1750256333.3092
MEM 14800.582031 1750256333.4096
